Director,NodeID
Spencer Susser,6514
Robert Iscove,7229
Jodie Foster,9790
Rakesh Roshan,1286
Mike Binder,6901
Nick Cassavetes,6002
Morgan Spurlock,2610
Rob Zombie,7478
Brenda Chapman,3158
St--phane Aubier,12962
Robert Ben Garant,2411
Raja Gosnell,1926
Johnny Remo,1894
Zal Batmanglij,6104
Gary Winick,7656
James Algar,591
Mitchell Altieri,11279
Stephen Milburn Anderson,13346
Paul Weitz,10167
John Sayles,3992
Christian Volckman,4466
James Frawley,8812
Craig Johnson,3756
William Shatner,10818
Mike Cahill,10325
Joby Harold,6903
Marius A. Markevicius,13178
Robert Fontaine,11192
Thorbj--rn Christoffersen,2599
Patricia Rozema,11257
Mark Helfrich,6892
Jason Moore,6642
David LaChapelle,4278
Dave McKean,6374
David Lowery,10313
John Glen,1386
John Whitesell,3785
Sean Penn,6088
David DeCoteau,2177
John Frankenheimer,4889
David Fincher,3052
John Carl Buechler,7537
Zak Penn,9245
Eric Brevig,4942
Lynne Ramsay,4685
Brian Koppelman,9342
David Dobkin,2354
Ari Folman,11020
Adrian Lyne,708
Gary Sherman,7945
Heidi Ewing,10558
Warren Sheppard,4215
Huck Botko,29
Nickolas Perry,11508
Larry Charles,3521
Larry Clark,5749
Sidney Lumet,4112
Peter Sohn,11066
Caroline Link,11403
Brian Dorton,13036
Ray Griggs,7714
Laurent Bouhnik,4878
Bill Condon,4324
Stephen J. Anderson,4209
Patty Jenkins,11906
Susanna White,3963
Stephen Sommers,2349
John D. Hancock,11829
Adam Goldberg,10862
Thomas Carter,363
Stuart Baird,6850
Stephen Carpenter,1875
Richard LaGravenese,6213
Jon Stewart,9284
Tom DiCillo,5950
Aaron Seltzer,4550
Henry Hobson,5009
Ken Roht,13183
Brett Piper,6322
Jonathan Levine,613
Fina Torres,12868
Wayne Beach,12454
Jacques Perrin,12136
Mateo Gil,11411
Jeff Burr,6210
Jason Trost,6503
Fernando Baez Mella,13363
Gregory Widen,13224
Nadia Tass,13023
Jeff Nichols,874
Bennett Miller,12884
Carmen Marron,11676
Michael McGowan,2325
Bruce Malmuth,7115
Steve Hickner,8981
Julie Taymor,6341
Shane Black,5901
Dennis Hopper,1278
Darrell Roodt,6453
Masayuki Ochiai,4997
Neil Jordan,448
Andrew Morahan,10579
Gideon Raff,9335
Kenneth Johnson,10895
David Anspaugh,13048
Jon Wright,11205
John R. Leonetti,11510
David Hayter,7760
David Slade,6251
William Wyler,2977
Stanton Barrett,4643
Andrucha Waddington,8384
Richard Kelly,6628
Steve Barron,1432
Randall Miller,4955
Henry Bean,9902
Justin Thomas Ostensen,6987
Richard Shepard,6039
Joshua Marston,9745
Patrick Gilmore,4817
Jesse Dylan,1210
--lex de la Iglesia,12979
Allen Coulter,8271
Jill Sprecher,7094
Marcus Nispel,7860
Peyton Reed,665
Jon Cassar,6930
Billy Kent,12259
Benh Zeitlin,4159
John Ottman,10351
Irvin Kershner,344
Henry Selick,12232
Warren Beatty,3211
Craig Moss,2070
Greg Harrison,8806
Dennis Iliadis,368
Llu--s Qu--lez,4004
Peter Faiman,12671
Karen Moncrieff,698
Nanette Burstein,7934
L--a Pool,4600
Steve Pink,9234
Elizabeth Banks,3281
Kurt Hale,2794
Majid Majidi,5906
Brad Furman,3299
Joseph Kahn,8151
Allison Anders,3284
Sai Varadan,11851
Tony Scott,1590
Nick Tomnay,8380
Damian Nieman,9608
William Cottrell,12185
Robert Hall,9019
Abel Ferrara,3198
Andr-- --vredal,1647
Tom Schulman,8154
Harry Beaumont,8868
Perry Lang,3776
Danny Perez,939
Paul Greengrass,7149
Laurent Cantet,2182
Alex van Warmerdam,4461
Robert Redford,3250
Xavier Gens,6528
Ethan Coen,7910
Glenn Ficarra,5680
Herb Freed,7003
Tom Gormican,5594
Justin Tipping,12127
William Gazecki,3672
Jake Schreier,9714
Joe Dante,1104
Peter Chelsom,8485
David Schwimmer,3958
Kirk De Micco,9004
Kate Connor,3207
Alan J. Pakula,6423
Todd Phillips,2869
Paul Bartel,7490
Tyler Oliver,6271
Jean-Marie Poir--,2706
Milos Forman,4534
Fred Wolf,5860
Quentin Dupieux,7671
Doug Block,8769
Mike Mills,260
Chris Columbus,845
Vladlen Barbe,4947
Robert Stromberg,3201
Tom McLoughlin,9430
U. Roberto Romano,13487
Paul Fox,8206
Sean Durkin,9582
Jos-- Luis Valenzuela,9052
Robert Luketic,3132
Rob Letterman,581
Hans Petter Moland,12610
Roger Christian,5686
Al Franklin,6817
Zach Cregger,5967
Eli Craig,2357
Matthew Watts,2251
Duncan Jones,6218
John Patrick Shanley,2762
Allan Arkush,3516
Michel Gondry,1550
Robert Greenwald,2732
Michael Winner,8357
Chris Weitz,3803
Mel Brooks,3247
Rupert Wyatt,5537
