NodeID,Name,Race,Gender
1110,Michael Moore,White,Male
1111,Tucker Albrizzi,,
1112,Bill Clinton,White,Male
1115,Rosario Dawson,Multiracial,Female
1116,Vanessa Williams,Black,Female
1119,Joseph Gordon-Levitt,White,Male
1120,Abbie Cornish,White,Female
1123,Henry Rollins,White,Male
1124,Jason London,White,Male
1127,Dean Stockwell,White,Male
1128,Celeste Holm,White,Female
1129,John Garfield,White,Male
1132,David Hyde Pierce,White,Male
1133,Ron Rifkin,White,Male
1136,Eddie Izzard,White,Male
1137,Janet McTeer,White,Female
1139,Sofia Boutella,,
1140,Melissa Roxburgh,,
1141,Lydia Wilson,,
1144,Don Cheadle,Black,Male
1145,Sophie Okonedo,Multiracial,Female
1146,Hakeem Kae-Kazim,,
1149,Steve Carell,White,Male
1150,Jon Hamm,White,Male
1153,Vincent Schiavelli,White,Male
1156,Emma Watson,White,Female
1157,Logan Lerman,White,Male
1160,Scott Levy,,
1161,Vanilla Ice,White,Male
1162,Jennifer Sky,,
1165,Art Hindle,White,Male
1166,Susan Clark,White,Female
1167,Tony Ganios,,
1170,Judith Anderson,White,Female
1171,Paul Fix,White,Male
1172,Laraine Day,White,Female
1175,Madison Pettis,Multiracial,Female
1176,Corbin Bleu,Multiracial,Male
1177,Sandra Echeverr--a,,
1180,Lee Ingleby,,
1181,David Threlfall,,
1184,Rosanna Arquette,White,Female
1185,Dann Florek,White,Male
1186,Christopher Rich,White,Male
1188,Common,Black,Male
1191,Hulk Hogan,White,Male
1192,Barry Bostwick,White,Male
1193,Nicollette Sheridan,White,Female
1196,Yayaying Rhatha Phongam,,
1199,Alex Pettyfer,White,Male
1200,Mary-Kate Olsen,White,Female
1201,Erik Knudsen,,
1204,Sasha Alexander,White,Female
1205,Frances Conroy,White,Female
1208,Fred Willard,White,Male
1209,T.J. Thyne,,
1212,Martin Starr,,
1213,Wendie Malick,White,Female
1216,Jordi Vilasuso,,
1217,Michael McLafferty,,
1218,Kaiwi Lyman-Mersereau,,
1225,Haley Joel Osment,White,Male
1226,Nancy Travis,White,Female
1227,Andrea Martin,White,Female
1230,Laura San Giacomo,White,Female
1231,Steven Brill,White,Male
1234,Macaulay Culkin,White,Male
1235,Catherine O'Hara,White,Female
1237,Peter McQuinn,,
1238,Tommy Knight,,
1239,Jemma Curran,,
1242,Jay Hernandez,Hispanic,Male
1243,Jacinda Barrett,White,Female
1246,Esther Williams,White,Female
1247,Basil Rathbone,White,Male
1248,Red Skelton,White,Male
1251,Colin Firth,White,Male
1254,Adrian Martinez,,
1255,Scott Porter,,
1256,Aaron Yoo,,
1259,Demi Moore,White,Female
1260,John Doman,White,Male
1262,Mia Kirshner,White,Female
1265,Craig Roberts,White,Male
1266,Carla Gallo,,
1267,Ike Barinholtz,White,Male
1270,Cole Hauser,White,Male
1273,Dick Clark,White,Male
1275,Raymond Burr,White,Male
1276,Don Gordon,,
1277,Jim Byrnes,White,Male
1280,Taylor Lautner,White,Male
1281,Anna Kendrick,White,Female
1284,Rekha,Asian/Indian,Female
1285,Sharat Saxena,,
1288,Alexis Dziena,White,Female
1291,Liza Minnelli,White,Female
1292,Mary Kay Place,White,Female
1297,Seregon O'Dassey,,
1298,Deirdre Lorenz,,
1299,Dustin Diamond,White,Male
1302,Rapulana Seiphemo,,
1303,Kenneth Nkosi,,
1304,Robert Hobbs,,
1307,Seth MacFarlane,White,Male
1308,Tom Skerritt,White,Male
1311,David Kross,,
1314,Kathleen Turner,White,Female
1315,Joan Allen,White,Female
1318,Ian McDiarmid,White,Male
1320,Toby Jones,White,Male
1323,Lauren Holly,White,Female
1324,Teri Garr,White,Female
1327,John Witherspoon,Black,Male
1328,W. Earl Brown,White,Male
1329,Allen Payne,Black,Male
1334,Richard Cawthorne,,
1335,John Jarratt,,
1336,Lucy Fry,,
1338,Christopher Lambert,White,Male
1339,Cary-Hiroyuki Tagawa,Asian,Male
1340,Bridgette Wilson-Sampras,,
1342,Lillian Gish,White,Female
1343,Mae Marsh,White,Female
1344,Walter Long,White,Male
1347,Tao Okamoto,,
1348,Rila Fukushima,,
1351,Daniel Radcliffe,White,Male
1352,Jamie Lee Curtis,White,Female
1353,Mark Margolis,White,Male
1355,Jon Polito,White,Male
1358,Kelly Preston,White,Female
1359,Nicholas Braun,,
1362,Will Smith,Black,Male
1363,Bai Ling,Asian,Female
1366,Joaquim de Almeida,White,Male
1367,David Keith,White,Male
1368,Sam Jaeger,White,Male
1371,Benedict Cumberbatch,White,Male
1372,Annet Mahendru,,
1373,Andy Richter,White,Male
1376,Jin Akanishi,,
1379,Liam Aiken,White,Male
1380,Kevin Nealon,White,Male
1383,Louis Jourdan,White,Male
1384,Kabir Bedi,Asian/Indian,Male
1385,Steven Berkoff,White,Male
1388,Hunter Parrish,White,Male
1391,John Gallagher Jr.,,
1392,Sumalee Montano,,
1397,Lee Majors,White,Male
1400,Bobby Batson,,
1401,Cynthia Barrett,,
1404,Jaime Camil,,
1405,Gerardo Taracena,,
1406,Joaqu--n Cosio,,
1409,Joseph Sikora,,
1410,Chris Ellis,White,Male
1413,Kate Winslet,White,Female
1414,Joe Komara,,
1417,Rory Culkin,White,Male
1418,Scott Mechlowicz,White,Male
1419,Trevor Morgan,White,Male
1422,Ti West,White,Male
1425,Christopher Meloni,White,Male
1427,Ato Essandoh,,
1429,Martin Landau,White,Male
1430,Udo Kier,White,Male
1431,Bebe Neuwirth,White,Female
1434,Matt Bomer,White,Male
1435,Kevin Nash,White,Male
1438,Katrina Bowden,White,Female
1439,Michael Cudlitz,White,Male
1440,Alice Greczyn,,
1445,J--rgen Prochnow,,
1446,Jos-- Ferrer,,
1449,Topher Grace,White,Male
1450,Michael Biehn,White,Male
1451,Dan Fogler,,
1454,Matthew Broderick,White,Male
1455,Gabourey Sidibe,Black,Female
1456,Judd Hirsch,White,Male
1460,Dave Chappelle,Black,Male
1461,Harland Williams,White,Male
1462,Clarence Williams III,Black,Male
1465,Kelly Macdonald,White,Female
1466,Shirley Henderson,White,Female
1467,Ewen Bremner,White,Male
1472,Yangzom Brauen,,
1473,Claude-Oliver Rudolph,,
1474,Anna Katharina Schwabroh,,
1477,Tim Blake Nelson,White,Male
1478,Diane Ladd,White,Female
1479,Ritchie Montgomery,,
1482,Craig Ferguson,White,Male
1483,Frances Fisher,White,Female
1486,Zuhair Haddad,,
1487,Ben Youcef,,
1490,Albert Delpy,,
1491,Marie Pillet,,
1494,Shelley Long,White,Female
1495,Rick Rossovich,White,Male
1498,James Corden,White,Male
1499,Catherine Tate,White,Female
