NodeID,Name,Race,Gender
9558,Nat Faxon,,
1369,John Moore,,
9565,Colin Higgins,,
1374,Eric Darnell,,
1377,Carl Rinsch,,
9572,Paul Bunnell,,
1381,John Hoffman,,
1386,John Glen,White,Male
1389,Richard Glatzer,,
9582,Sean Durkin,,
9584,Alain Resnais,White,Male
1393,Dan Trachtenberg,,
1395,Jonathan Liebesman,,
1398,Brendan Malloy,,
9593,Michael Wadleigh,,
1402,Michael Polish,White,Male
9598,John Gray,White,Male
1407,Beto G--mez,,
1411,Joe Charbanic,,
1415,Sam Mendes,White,Male
9608,Damian Nieman,,
1420,Jacob Aaron Estes,,
1423,Joe Swanberg,White,Male
9619,Qasim Basir,,
1432,Steve Barron,,
1436,Gregory Jacobs,,
9629,Eugenio Derbez,,
1441,Sean Anders,,
1443,Jean-Jacques Annaud,White,Male
1447,David Lynch,White,Male
9641,Ellory Elkayem,,
1452,Michael Dowse,,
9645,Jerry Zaks,,
1457,Brett Ratner,White,Male
9653,Bruno Barreto,White,Male
1463,Tamra Davis,White,Female
9657,Phil Traill,,
1468,Danny Boyle,White,Male
1470,George Tillman Jr.,,
9663,Kevin Donovan,,
9665,Mick Jackson,White,Male
1475,Ivan Engler,,
9670,Keenen Ivory Wayans,Black,Male
1480,Joey Lauren Adams,White,Female
9673,Benedek Fliegauf,,
1484,Kevin Allen,,
9677,Stanley Tong,,
1488,Giovanni Zelko,,
9681,Blake Edwards,White,Male
1492,Richard Linklater,White,Male
1496,Curtis Hanson,White,Male
9690,W.D. Hogan,,
9807,Neil LaBute,White,Male
1503,Tuck Tucker,White,Female
1507,Rob Minkoff,,
9704,Jay Alaimo,,
1514,Guillaume Ivernel,,
1519,John Lasseter,White,Male
9714,Jake Schreier,,
1524,Bruce McDonald,White,Male
9720,Matt Johnson,,
1529,Jack Heller,,
9724,John 'Bud' Cardos,,
1533,David Caffrey,,
9733,Marc F. Adler,,
1543,Shawn Levy,White,Male
9738,Emile Ardolino,White,Male
1550,Michel Gondry,White,Male
1552,Gary Ross,White,Male
9745,Joshua Marston,,
1559,Joseph Mazzella,,
1563,Harald Zwart,White,Male
9762,Anna Muylaert,,
1574,Blair Erickson,,
9769,Tom Elkins,,
1579,Elaine May,White,Female
1583,Brian A Miller,,
1586,Joel Coen,White,Male
9781,Thomas Bezucha,,
1590,Tony Scott,White,Male
9785,Forest Whitaker,Black,Male
1594,James Cameron,White,Male
9790,Jodie Foster,White,Female
9793,Gary Nelson,,
1605,Mitch Davis,,
1608,Jerry Zucker,White,Male
1612,Betty Thomas,White,Female
9805,Sut Jhally,,
8461,Nils Gaup,,
11192,Robert Fontaine,,
12558,Patrick Gilles,,
1623,Jessie Nelson,,
1628,Mikel Rueda,,
9823,Stewart Raffill,,
1635,Anthony Minghella,White,Male
9828,James Kerwin,,
1642,Renny Harlin,White,Male
8466,Baltasar Korm--kur,,
9838,Mabrouk El Mechri,,
1647,Andr-- --vredal,,
1651,Ken Shapiro,,
1655,Bruce Beresford,White,Male
1659,George Armitage,White,Male
9834,Diane English,,
1662,Edward Zwick,White,Male
9855,Jon Hess,,
1666,Emma-Kate Croghan,,
1673,Roland Joff--,,
1677,M. Night Shyamalan,Asian/Indian,Male
1681,Florence Ayisi,,
9875,Lisa Cholodenko,White,Female
1686,Matthew R. Anderson,,
1690,Alan Cohn,,
12570,Michael Meredith,,
1694,Matthew Diamond,,
1699,Cary Bell,,
9892,Frank Whaley,White,Male
9902,Henry Bean,,
9906,Christopher Landon,,
1719,James Toback,White,Male
1723,Charles Martin Smith,White,Male
1727,Kevin Spacey,White,Male
9920,Sterling Van Wagenen,,
1731,William Malone,,
9924,Todd Field,,
1734,Dario Argento,White,Male
9927,Leigh Whannell,,
1737,Michael Patrick King,,
1741,Stuart Beattie,,
9934,Georg Wilhelm Pabst,,
1745,Tyler Perry,Black,Male
9940,Charles Stone III,,
1749,Richard Williams,,
1753,Hayao Miyazaki,Asian,Male
1758,Randy Moore,,
8485,Peter Chelsom,,
1762,Benson Lee,,
9851,Gary Halvorson,,
1766,Peter Howitt,,
1770,Rob Reiner,White,Male
1774,Davis Guggenheim,White,Male
1777,James Ivory,White,Male
1780,Andrew Wilson,White,Male
9976,Ricki Stern,,
1788,Lawrence Guterman,,
1793,Henry Alex Rubin,,
9990,Alex Rivera,,
1802,Dustin Hoffman,White,Male
1805,Karyn Kusama,,
1808,Gillian Armstrong,White,Female
10001,Kelly Asbury,,
1813,Sean McNamara,,
1818,Ron Maxwell,,
1821,Clark Gregg,White,Male
1826,David Robert Mitchell,,
1828,John Turturro,White,Male
10028,Tommy O'Haver,,
1839,Gilles Paquet-Brenner,,
10033,Cheryl Dunye,,
1844,Stanley Kramer,White,Male
10037,Michael Cimino,White,Male
10039,Don Scardino,,
1849,Jay Levey,,
